FID_1,STATE,COUNTY,CITY,LATITUDE,LONGITUD,OBJECTID,ICOUNT,Distance
3964,6,37,1980,34.19210000,-118.39651111,5769,4,614.59441720
3732,6,37,1980,34.17941944,-118.38373056,5770,4,859.45058044
3778,6,37,1430,34.17280833,-118.28797222,5808,4,517.59617145
3793,6,37,1980,34.21683056,-118.47318056,5861,4,506.48325758
3690,6,37,1980,34.25461944,-118.47220000,5881,4,310.50751155
3572,6,37,1980,34.26805000,-118.43733889,5967,4,272.75717252
3556,6,37,1430,34.14983056,-118.26143056,6039,3,730.03349613
3555,6,37,1430,34.15453889,-118.25794167,6043,4,209.72423531
3999,6,37,2700,34.17273611,-118.13722500,6109,3,1006.63341266
3994,6,37,1716,34.11322500,-117.97930278,6164,4,266.94797665
4007,6,37,1047,34.13919444,-117.96857222,6180,4,1225.74604871
3827,6,37,230,34.12036944,-117.90761944,6190,4,83.92289988
3901,6,37,230,34.12077778,-117.89033333,6190,4,1500.53188561
3958,6,37,0,34.11416944,-117.89330000,6190,4,1418.70816731
3633,6,37,230,34.13337778,-117.90418889,6199,4,336.69460487
3852,6,37,0,34.06428056,-117.82806944,6214,3,2013.19542846
3648,6,37,1440,34.13967778,-117.86414167,6250,3,1405.17091051
3448,6,37,1440,34.12090000,-117.83124444,6253,3,563.51986552
3696,6,37,2870,34.07623056,-117.71932222,6280,3,695.36743387
3478,6,37,720,34.09464444,-117.72042500,6284,4,1337.27385965
3671,6,71,4000,34.10435833,-117.72905278,6316,4,709.58247669
3543,6,37,1980,34.31916944,-118.49378056,6412,4,216.15927392
3842,6,37,0,34.38265000,-118.48835000,6444,4,2343.88945402
3561,6,37,0,34.49255000,-118.19058889,6474,3,3569.59413104
3487,6,37,2645,34.64694167,-118.20201389,6494,3,1781.73307984
3450,6,37,1840,34.68917500,-118.22168889,6506,3,1983.79460311
3923,6,71,1305,34.10652778,-117.48677500,6617,4,109.63388042
3843,6,71,2922,34.11510000,-117.52187778,6618,4,642.33537067
3943,6,71,3000,34.10677222,-117.36556389,6638,4,356.59492690
3670,6,71,3210,34.13189444,-117.28515833,6676,4,1376.15283459
3672,6,71,3210,34.13580833,-117.22629444,6682,3,850.49060770
3551,6,71,0,34.33847500,-117.60186111,6699,3,6359.29960263
3586,6,71,0,34.47725000,-117.59063056,6699,3,9696.17338115
3847,6,71,0,34.50645000,-117.56485000,6699,3,12912.50604320
3652,6,71,1603,34.44140556,-117.39953889,6724,3,1631.36984371
3481,6,71,1603,34.42667778,-117.36224167,6730,3,1318.41568785
3794,6,71,4040,34.48485556,-117.39950000,6732,3,1615.04354924
3727,6,71,4040,34.48278889,-117.33683889,6736,4,1587.56651051
3874,6,71,4040,34.47258056,-117.34427222,6736,4,264.59812757
3768,6,71,4040,34.49792222,-117.33006667,6741,4,1353.00516046
3644,6,71,0,34.44371667,-116.97710000,6778,3,2561.79857135
